               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.5076,              16.392,              5.3268,          8.5207e-06,          0.00034548,          4.2643e-06,          1.4929e-06,                   0,                   0,                   0,            0.070039,            0.003329,            0.003329
                   1,              4.3871,              4.2165,              3.1778,             0.24733,             0.24236,              0.1584,            0.055432,                   0,                   0,                   0,            0.040026,           0.0066491,           0.0066491
                   2,              2.8881,              2.5575,              1.8996,             0.21921,             0.25825,             0.12565,            0.039135,                   0,                   0,                   0,           0.0099997,            0.009956,            0.009956
                   3,              2.7434,              2.3918,               1.798,              0.4837,             0.36207,             0.35067,             0.13341,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,              2.6411,              2.2024,              1.7274,             0.60106,             0.52287,             0.55529,             0.23298,                   0,                   0,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,              2.5824,              2.1127,              1.7013,             0.61283,             0.56366,             0.60147,             0.26183,                   0,                   0,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,              2.5352,              2.0095,              1.6729,             0.63684,             0.59008,             0.64413,             0.28155,                   0,                   0,                   0,            0.009901,            0.009901,            0.009901
                   7,              2.5327,              1.9908,              1.6637,              0.6922,             0.61963,             0.69501,             0.32085,                   0,                   0,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,              2.5179,               1.961,              1.6519,             0.69113,             0.63655,             0.70439,             0.32039,                   0,                   0,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,              2.4883,              1.8998,              1.6546,             0.69591,              0.6768,             0.73073,             0.33603,                   0,                   0,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,               2.469,               1.868,              1.6362,             0.72846,             0.69943,             0.76532,             0.36442,                   0,                   0,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,              2.4542,              1.8345,              1.6228,               0.703,             0.67219,             0.73354,             0.33579,                   0,                   0,                   0,            0.009802,            0.009802,            0.009802
                  12,              2.4329,               1.791,              1.6208,             0.71971,             0.70125,              0.7612,             0.36377,                   0,                   0,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,              2.4364,              1.7881,              1.6123,             0.70394,             0.66331,             0.73294,             0.33492,                   0,                   0,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,               2.427,              1.7771,              1.6179,             0.73515,             0.69701,             0.77129,             0.36744,                   0,                   0,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,              2.4063,              1.7505,              1.6026,             0.74061,             0.70037,             0.77404,             0.35776,                   0,                   0,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,              2.3854,              1.7123,               1.595,             0.73592,             0.68789,              0.7707,             0.36677,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                  17,              2.3871,              1.7032,              1.6018,             0.72195,             0.70409,             0.76876,             0.37138,                   0,                   0,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,              2.3979,              1.7001,              1.5866,             0.73616,             0.70852,               0.782,             0.38194,                   0,                   0,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,              2.3878,              1.6919,              1.5924,             0.73421,             0.72911,             0.79056,             0.38765,                   0,                   0,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,              2.3615,              1.6545,              1.5807,             0.74536,             0.73035,             0.79599,             0.39221,                   0,                   0,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,              2.3745,              1.6579,              1.5968,             0.76203,             0.72862,             0.80233,             0.39482,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                  22,              2.3585,                1.65,              1.5867,             0.74714,             0.72479,             0.79616,             0.38454,                   0,                   0,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,              2.3493,              1.6255,              1.5813,             0.75867,             0.72387,             0.80396,             0.39234,                   0,                   0,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,              2.3659,              1.6205,              1.5861,             0.74421,             0.73479,             0.79918,             0.39201,                   0,                   0,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,              2.3503,              1.6288,              1.5726,             0.75851,             0.73464,             0.80972,             0.39676,                   0,                   0,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,              2.3434,              1.6088,              1.5644,             0.76168,             0.75029,             0.81786,             0.40467,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                  27,              2.3372,              1.6137,              1.5733,             0.76775,             0.74262,             0.81906,             0.40794,                   0,                   0,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,              2.3386,              1.6112,              1.5799,             0.76951,             0.75833,             0.82569,             0.41042,                   0,                   0,                   0,           0.0094654,           0.0094654,           0.0094654
